LoanId,AmountDisbursed,Interest,LoanBalance,BorrowDate,Loantype,Product,Branch,ClearDate,CustomerId,default,current_balance,Gender,LoanLimit,CreditScore,Status,Date Created,repayment_txn_count,repayment_total_paid,loan_first_repayment,loan_last_repayment,missed_instalments
594779,7000,2800,0,6/9/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,10/25/2023,876,0,,,,,,,,,,,7
594805,23000,8400,0,6/9/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,10/25/2023,663,0,,,,,,,,,,,7
594815,5000,1500,0,6/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,11/10/2023,1025,0,,,,,,,,,,,5
594857,5000,1500,0,6/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,11/10/2023,1032,0,,,,,,,,,,,5
595006,5000,1500,0,6/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,11/10/2023,673,0,,,,,,,,,,,5
595026,12000,3250,0,6/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,11/10/2023,80,0,,,,,,,,,,,5
595056,5000,1500,0,6/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,11/10/2023,1022,0,,,,,,,,,,,5
595241,7000,2000,1575,7/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,12/10/2023,995,1,,,,,,,,,,,5
595307,10000,3850,0,7/9/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,10/26/2023,63,0,,,,,,,,,,,7
595554,8000,2250,0,7/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,12/10/2023,1013,0,,,,,,,,,,,5
595651,12000,3250,0,7/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,12/10/2023,888,0,,,,,,,,,,,5
595808,8000,4500,0,8/9/2023,Repeat,10 WEEKS CREDIT EASE,MOLO,11/17/2023,73,0,,,,,,,,,,,10
595812,5000,1500,0,8/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/13/2023,910,0,,,,,,,,,,,5
595875,11000,4200,0,8/9/2023,Repeat,7 WEEKS CREDIT EASE,MOLO,10/27/2023,771,0,,,,,,,,,,,7
595984,6000,1750,0,8/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/13/2023,931,0,,,,,,,,,,,5
596011,9000,2500,0,8/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/13/2023,971,0,,,,,,,,,,,5
596044,8000,2250,0,8/9/2023,Repeat,5 WEEKS CREDIT EASE,MOLO,10/13/2023,778,0,,,,,,,,,,,5
596090,5000,1500,0,3/25/2024,Repeat,5 WEEKS CREDIT EASE,MOLO,10/13/2023,716,0,,,,,,,,,,,5
